,title,link,description,published,city,state_name,county_name,lat,lng
1040,Geoffroy's bat found in England,http://www.bbc.co.uk/news/uk-england-sussex-19596320#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A bat that is usually found in continental Europe is discovered in the UK for the first time,"Fri, 14 Sep 2012 13:36:23 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1041,South-east facing hosepipe bans,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-17340844,"Seven water companies across southern and eastern England are to impose hosepipe bans from 5 April amid drought conditions, it is announced.","Mon, 12 Mar 2012 18:40:37 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1042,Ancient Britons drank from skulls,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-12478115,"The people occupying a cave in southwest England 14,700 years ago were drinking from cups fashioned from human skulls, scientists say.","Wed, 16 Feb 2011 22:08:34 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1043,Ministers ditch forest sale plan,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-politics-12488847,"Ministers ditch plans to change the ownership of state-owned woodland in England, with the government admitting it ""got this one wrong"".","Thu, 17 Feb 2011 22:04:38 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1044,Dry months raise drought concern,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-15972810,"The drought affecting parts of England will last into next summer if there is insufficient winter rain, the Environment Agency warns.","Thu, 01 Dec 2011 15:14:50 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1045,VIDEO: England drought affects wildlife,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-17435122,The drought that's affecting many parts of England is beginning to have a serious impact on wildlife,"Mon, 19 Mar 2012 16:48:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1046,Wind farm impact to be examined,http://www.bbc.co.uk/news/science-environment-20726813#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The firm behind a planned offshore wind farm on the south coast of England says it will look to see how it can ""mitigate"" campaigners' concerns.","Sat, 15 Dec 2012 15:20:24 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1047,'No sell-off' for public forests,http://www.bbc.co.uk/news/science-environment-21275432#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The government has announced that it will not sell off publicly owned forests in England.,"Thu, 31 Jan 2013 12:09:16 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1048,Rescue for birds covered in 'wax',http://www.bbc.co.uk/news/uk-england-dorset-21275648#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Hundreds of seabirds are washed up along the coast of south west England, covered covered in a white waxy substance.","Fri, 01 Feb 2013 08:36:28 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1049,Flood defence funding gap 'huge',http://www.bbc.co.uk/go/rss/int/news/-/news/uk-politics-15484109,"The one in six properties in England which are flood-prone are being put at risk by funding cuts and a lack of technical expertise, a report says.","Thu, 27 Oct 2011 23:01:52 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1050,Autumn glory at Stourhead,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-15476895,The changing season in one of England's most beautiful gardens,"Thu, 27 Oct 2011 14:25:51 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1051,Why spend 60 years studying seals?,http://www.bbc.co.uk/nature/15352109,How tourism helped save England's grey seal,"Thu, 27 Oct 2011 00:19:45 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1052,The school where pupils wear suits,http://www.bbc.co.uk/news/uk-england-birmingham-19491790#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Students welcome England's first university-status technical college,"Thu, 06 Sep 2012 05:30:33 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1053,New plan to pay farmers who protect winter soil,https://www.bbc.co.uk/news/uk-politics-59499371?at_medium=RSSat_campaign=KARANGA,The empty brown fields of winter countryside could be transformed under new land subsidy rules for England.,"Thu, 02 Dec 2021 02:09:19 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1054,Cyclist deaths soar on rural roads in England,https://www.bbc.co.uk/news/science-environment-59477788?at_medium=RSSat_campaign=KARANGA,The number of cyclists being killed on rural English roads rose sharply over the last year.,"Wed, 01 Dec 2021 01:29:17 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1055,Huge sale of public woodland planned,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-12262797,Plans will be revealed by the government this week that could result in the biggest sale of public land in England since World War II. It would see the responsibility for managing huge swathes of woodland and forest pass from the state into private hands.,"Sun, 23 Jan 2011 17:49:25 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1056,VIDEO: Protecting Britain's birds of prey,http://www.bbc.co.uk/news/science-environment-21580923#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Conservationists say there is only one breeding pair of Hen Harriers left in England and claim numbers have dwindled over the last decade partly because of illegal killing,"Mon, 25 Feb 2013 19:07:20 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1057,VIDEO: Marine conservation zones on the rise,http://www.bbc.co.uk/news/science-environment-30792502#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The BBC's Danny Savage reports on plans to protect more offshore seabeds in England, which would see new areas given the status of 'marine conservation zone'.","Tue, 13 Jan 2015 09:19:03 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1058,Coronavirus: Banning cars made easier to aid social distancing,https://www.bbc.co.uk/news/science-environment-52353942,Councils in England can now ban cars from streets more easily to allow space for social distancing.,"Mon, 20 Apr 2020 11:21:23 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1059,Drinks bottles and can deposit return scheme proposed,http://www.bbc.co.uk/news/science-environment-43563164,"A money-back scheme for returning glass, plastic bottles and cans in England is to be introduced.","Wed, 28 Mar 2018 11:28:47 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1060,Badger cull extension challenged,http://www.bbc.co.uk/news/science-environment-24645914#sa-ns_mchannel=rssns_source=PublicRSS20-sa,England's chief vet has rejected accusations his advice to ministers on the badger cull risked bringing the veterinary profession into disrepute.,"Mon, 28 Oct 2013 01:23:18 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1061,Brexit paves the way for gene-edited crops,https://www.bbc.co.uk/news/science-environment-58711230?at_medium=RSSat_campaign=KARANGA,Ministers will relax regulation of gene-edited crops to allow their commercial growing in England.,"Wed, 29 Sep 2021 00:27:38 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1062,Physicist's atom struggles revealed,http://www.bbc.co.uk/news/science-environment-22174013#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Letters from famed physicist Niels Bohr to his fiancee during his time in England are revealed to the public at the American Physical Society meeting.,"Wed, 17 Apr 2013 11:52:43 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1063,'Birth defect risk' for diabetics,http://www.bbc.co.uk/go/rss/int/news/-/news/health-16873489,"The risk of birth defects increases four-fold if the pregnant mother has diabetes, a study of 400,000 pregnancies in England suggests.","Mon, 06 Feb 2012 02:10:25 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
